Feature pair	covered in GAM	covered in Hi-C	Accuracy	% covered in GAM	% covered in Hi-C	Info Gain	Fisher's Exact P-value	Avg. Distance of Foreground Occurrence	Avg. Distance of Background Occurrence	Mean discriminatory power (Gini)	Enrichment %GAM / %Hi-C	GAM rank enrichment	Enrichment %Hi-C / %GAM	HiC rank enrichment	Enrichment direction
p300 / Enhancer	34406	13703	0.452683782	0.208589478	0.138975659	0.005658522	0	2164134.163	1917644.311	0.011340364	1.500906554	22	0.666263997138891	84	enriched in GAM
RNAPII-S7p / RNAPII-S7p	37618	19524	0.442784182	0.228062517	0.19801217	9.06E-04	5.60E-74	2094918.39	1867449.293	0.011282069	1.151760101	80	0.868236362009557	26	enriched in GAM
H4K20me3 / RNAPII-S7p	28664	16862	0.418909792	0.173778085	0.171014199	9.04E-06	0.06943268	1970513.536	2127835.369	0.011101895	1.016161735	93	0.984095312347103	13	enriched in GAM
Sox2 / RNAPII-S5p	36719	17020	0.4488742	0.222612249	0.172616633	0.00264741	2.69E-212	2090846.701	2075750.881	0.01106579	1.289633827	70	0.775413903593271	36	enriched in GAM
RNAPII-S2p / H3K9me3	22308	9494	0.422749729	0.135244262	0.096288032	0.002484372	2.60E-199	2041301.775	2022923.952	0.01099162	1.404580178	47	0.711956508900697	59	enriched in GAM
Nanog / RNAPII-S5p	39086	17239	0.45702458	0.2369624	0.174837728	0.003962439	1.00E-300	2105099.524	2114547.248	0.010940585	1.355327607	58	0.737828990448653	48	enriched in GAM
H4K20me3 / H4K20me3	5665	8065	0.365021666	0.034344573	0.081795132	0.007397634	0	1804681.377	2019680.099	0.01089374	0.419885299	105	2.38160279100412	1	enriched in Hi-C
RNAPII-S7p / H3K9me3	30955	18210	0.422487915	0.187667479	0.184685598	9.91E-06	0.057252565	2048454.854	2076184.514	0.010694351	1.016145713	94	0.984110828994856	12	enriched in GAM
RNAPII-S7p / RNAPII-S5p	57412	29543	0.479874481	0.348065427	0.299624746	0.001805454	1.91E-145	2095993.869	1985405.68	0.010635987	1.161671162	79	0.860828806560319	27	enriched in GAM
CTCF / Med12	20736	7687	0.423641414	0.12571387	0.07796146	0.004173871	0	2081886.574	1976958.501	0.010608593	1.61251302	7	0.620150031408738	99	enriched in GAM
p300 / RNAPII-S7p	39572	17698	0.457127029	0.239908819	0.179492901	0.00369799	1.09E-295	2122168.2	1956467.397	0.010595873	1.336592243	64	0.748171332908147	42	enriched in GAM
RNAPII-S7p / Oct4	44427	19616	0.468271194	0.269342694	0.198945233	0.004641688	0	2107385.149	2036305.057	0.01051304	1.353853468	59	0.738632373174967	47	enriched in GAM
Oct4 / H3K9me3	19955	12005	0.404293748	0.120978987	0.121754564	9.53E-07	0.558046626	2060478.076	2163628.488	0.010427666	0.993629998	95	1.00641083905761	11	enriched in Hi-C
H4K20me3 / Oct4	18151	11424	0.399653191	0.110042074	0.115862069	5.72E-05	4.82E-06	1991460.526	2163210.784	0.01041138	0.949767904	98	1.05288881187545	8	enriched in Hi-C
p300 / H3K9me3	18646	10157	0.406338931	0.113043057	0.10301217	1.76E-04	1.12E-15	2076357.396	2132802.993	0.010296894	1.097375738	82	0.911264907152521	24	enriched in GAM
p300 / H4K20me3	16971	9498	0.402483817	0.102888218	0.0963286	8.09E-05	5.60E-08	2001814.861	2165217.941	0.010288556	1.068096261	86	0.936245202341364	20	enriched in GAM
Nanog / Enhancer	29396	10465	0.445960098	0.178215901	0.106135903	0.007137439	0	2146368.213	2040905.877	0.010273492	1.679129272	1	0.595546761452682	105	enriched in GAM
RNAPII-S2p / Oct4	30957	11996	0.44607393	0.187679604	0.121663286	0.005585845	0	2104264.625	1914984.995	0.01010229	1.542614953	13	0.648249907117294	93	enriched in GAM
RNAPII-S5p / H3K27me3	25731	13145	0.421884605	0.155996508	0.13331643	6.99E-04	1.80E-57	2157952.664	1974393.305	0.009780382	1.170122152	78	0.854611630324899	28	enriched in GAM
p300 / Oct4	25113	10446	0.429780759	0.152249827	0.105943205	0.003195975	8.30E-256	2119883.726	2041910.779	0.009585012	1.437089122	41	0.695851067753054	65	enriched in GAM
H3K9me3 / H3K9me3	6165	7306	0.369798821	0.037375868	0.074097363	0.004526646	0	2019179.238	2045026.006	0.009546685	0.504415635	104	1.98249207719344	2	enriched in Hi-C
p300 / RNAPII-S2p	27859	11469	0.436318517	0.1688977	0.116318458	0.003789328	5.61E-303	2126479.773	1831730.752	0.009352949	1.452028355	37	0.688691785223436	69	enriched in GAM
CTCF / Tcf3	17509	6296	0.416674888	0.106149891	0.063853955	0.003850015	9.61E-305	2137287.109	2085311.309	0.009329112	1.66238552999999	3	0.601545178271613	103	enriched in GAM
p300 / p300	13605	5894	0.403386885	0.082481539	0.059776876	0.001307037	8.11E-106	2142088.938	1901343.739	0.009257524	1.379823513	52	0.724730366295765	54	enriched in GAM
Nanog / H4K20me3	14087	8485	0.395384487	0.085403708	0.086054767	9.14E-07	0.565027647	1997430.255	2194470.242	0.009256113	0.992434366	96	1.00762330916702	10	enriched in Hi-C
Oct4 / Oct4	16068	6744	0.409507259	0.097413699	0.068397566	0.001854587	2.47E-149	2097448.345	2086542.112	0.009236666	1.424227569	44	0.702134983036548	62	enriched in GAM
Nanog / RNAPII-S7p	34840	14330	0.451951462	0.211220642	0.145334686	0.004969129	0	2109576.349	2069166.783	0.009222744	1.453339518	35	0.688070466408386	71	enriched in GAM
RNAPII-S2p / RNAPII-S2p	16283	9033	0.401637665	0.098717156	0.091612576	9.88E-05	1.92E-09	2096154.271	1592720.027	0.009177528	1.077550268	85	0.928030951034945	21	enriched in GAM
Sox2 / Enhancer	27689	10424	0.439638621	0.16786706	0.105720081	0.005479277	0	2140871.826	1999293.937	0.009147408	1.587844596	10	0.629784553550856	96	enriched in GAM
Sox2 / RNAPII-S7p	32645	14221	0.444036335	0.197913256	0.144229209	0.003409267	8.34E-273	2098356.257	2030692.638	0.008984364	1.372213423	55	0.728749612297007	51	enriched in GAM
Nanog / H3K9me3	15528	8730	0.399922594	0.0941399	0.088539554	6.37E-05	1.45E-06	2057405.976	2191156.93	0.008917694	1.063252483	87	0.940510382988684	19	enriched in GAM
RNAPII-S2p / Enhancer	40173	16089	0.465512662	0.243552435	0.163174442	0.006689879	0	2150957.11	1822218.907	0.008902711	1.492589355	27	0.669976639355035	79	enriched in GAM
RNAPII-S5p / Med12	17754	8081	0.410831506	0.107635226	0.081957404	0.001288431	2.60E-104	2059758.928	1965746.814	0.008753827	1.313306929	68	0.761436628345086	38	enriched in GAM
RNAPII-S7p / RNAPII-S2p	35805	16828	0.446134641	0.217071041	0.170669371	0.002314048	7.94E-186	2094672.811	1819094.367	0.008678088	1.271880478	73	0.786237399895055	33	enriched in GAM
H3K27me3 / Enhancer	21900	9769	0.420158151	0.132770725	0.099077079	0.001857339	1.59E-149	2198560.731	1893720.954	0.008432147	1.340075083	63	0.746226844067065	43	enriched in GAM
H4K20me3 / Sox2	13431	8264	0.393733921	0.081426649	0.083813387	1.27E-05	0.03131973	1975385.303	2155454.985	0.008388959	0.971523181	97	1.02931151778662	9	enriched in Hi-C
RNAPII-S7p / H3K27me3	24338	11682	0.422150213	0.14755132	0.118478702	0.001230602	9.59E-100	2157845.345	1947769.218	0.008388801	1.245382652	75	0.802966058981203	31	enriched in GAM
Sox2 / H3K9me3	14639	8490	0.397460026	0.088750258	0.086105477	1.48E-05	0.020393375	2041109.365	2179651.355	0.008334074	1.030715595	91	0.970199737785087	15	enriched in GAM
H4K20me3 / H3K27me3	8580	5021	0.38763252	0.052017024	0.050922921	4.14E-06	0.222800965	2038079.254	2213128.859	0.008301531	1.021485469	92	0.97896644675618	14	enriched in GAM
H3K9me3 / H3K27me3	8609	5594	0.385568364	0.052192839	0.05673428	6.79E-05	6.54E-07	2133836.683	2112027.172	0.008068627	0.919952433	99	1.08701272384156	7	enriched in Hi-C
Nanog / Oct4	19681	8030	0.418336837	0.119317837	0.081440162	0.002660866	2.36E-213	2102750.876	2132707.347	0.00803259	1.465098227	32	0.682548092388074	74	enriched in GAM
p300 / Nanog	19270	7678	0.418112967	0.116826113	0.077870183	0.00289183	1.14E-231	2115231.967	2079744.725	0.008026227	1.500267611	23	0.66654774966011	83	enriched in GAM
Oct4 / H3K27me3	15565	7024	0.40653624	0.094364216	0.071237323	0.001180603	8.96E-96	2161061.356	2035848.519	0.007923896	1.324645745	67	0.754918817936489	39	enriched in GAM
Tcf3 / RNAPII-S5p	15254	6512	0.407298916	0.092478751	0.066044625	0.00160382	2.18E-129	2103904.55	2073832.924	0.007614649	1.400246439	49	0.714160002230864	57	enriched in GAM
p300 / H3K27me3	14458	6686	0.403618344	0.087652929	0.067809331	9.21E-04	4.12E-75	2179665.237	1954567.754	0.00758284	1.292638167	69	0.773611692373926	37	enriched in GAM
Sox2 / Oct4	17644	7511	0.412576932	0.106968341	0.076176471	0.001909386	1.19E-153	2098644.298	2085293.569	0.00755965	1.404217606	48	0.712140337599498	58	enriched in GAM
p300 / Sox2	18030	7710	0.413286485	0.109308501	0.078194726	0.001908927	1.18E-153	2118123.128	2050884.565	0.007545209	1.397901193	50	0.71535814191125	56	enriched in GAM
Nanog / RNAPII-S2p	23708	8548	0.431651401	0.143731888	0.086693712	0.005344501	0	2100101.232	1975999.064	0.007354809	1.657927487	4	0.603162688260563	102	enriched in GAM
RNAPII-S7p / Med12	15358	6900	0.406221305	0.09310926	0.069979716	0.001197328	4.11E-97	2058471.155	1911675.362	0.007029028	1.330517831	65	0.751587071364848	41	enriched in GAM
Sox2 / RNAPII-S2p	22289	8692	0.425720747	0.135129073	0.088154158	0.003725957	6.48E-298	2100935.888	1908992.177	0.006704962	1.53287236	16	0.652370038168083	90	enriched in GAM
Med12 / Enhancer	13840	5436	0.406016407	0.083906248	0.055131846	0.002142297	3.73E-172	2096933.526	1880728.477	0.00670134	1.521919806	17	0.657064844059201	89	enriched in GAM
H4K20me3 / Med12	6589	3746	0.384915726	0.039946407	0.037991886	1.72E-05	0.012451975	1938139.323	2071884.677	0.006456643	1.051445729	88	0.951071436612397	18	enriched in GAM
H3K27me3 / H3K27me3	4027	2667	0.379288625	0.024414051	0.027048682	4.70E-05	3.39E-05	2194417.681	1763449.569	0.006444975	0.902596699	100	1.10791453271202	6	enriched in Hi-C
RNAPII-S2p / H3K27me3	17543	7646	0.411681452	0.10635602	0.077545639	0.001665834	2.38E-134	2147851.565	1830442.061	0.006402392	1.371528057	56	0.729113775614143	50	enriched in GAM
Nanog / Sox2	13852	5565	0.405572462	0.083978999	0.056440162	0.001944684	1.92E-156	2094623.159	2108549.865	0.006388151	1.487929797	28	0.672074718858526	78	enriched in GAM
Nanog / Nanog	9199	3586	0.395426225	0.055769767	0.036369168	0.001432971	7.90E-116	2104798.348	2127328.5	0.006284998	1.533435313	15	0.65213054083358	91	enriched in GAM
Nanog / H3K27me3	11772	4934	0.40007437	0.071368812	0.050040568	0.001335768	4.10E-108	2136588.515	2080405.351	0.00611895	1.426219057	43	0.701154563243225	63	enriched in GAM
Med12 / H3K9me3	7180	3766	0.387082331	0.043529397	0.038194726	1.22E-04	2.55E-11	2006935.933	2060839.087	0.005998118	1.139670365	81	0.877446699247988	25	enriched in GAM
Tcf3 / RNAPII-S7p	13490	5442	0.404665599	0.081784342	0.055192698	0.001855354	2.38E-149	2110028.169	2009342.154	0.005983299	1.481796412	29	0.674856540278895	77	enriched in GAM
Sox2 / H3K27me3	11294	4911	0.398347916	0.068470894	0.049807302	0.001048612	2.99E-85	2142939.614	2050164.936	0.005924412	1.374715964	54	0.727422992230561	52	enriched in GAM
Oct4 / Med12	10016	4113	0.396526603	0.060722903	0.041713996	0.001244616	7.32E-101	2067372.204	2007653.781	0.005585726	1.455696149	33	0.68695654700121	73	enriched in GAM
Sox2 / Sox2	8383	3496	0.392671488	0.050822693	0.035456389	9.58E-04	4.98E-78	2084280.091	2076933.638	0.005467035	1.433386035	42	0.69764876703295	64	enriched in GAM
p300 / Med12	8864	3943	0.392800498	0.053738799	0.039989858	7.09E-04	3.06E-58	2087459.386	1903038.296	0.005428959	1.343810707	62	0.744152427712424	44	enriched in GAM
H4K20me3 / Tcf3	5449	2970	0.383534563	0.033035054	0.030121704	4.67E-05	3.77E-05	1974872.454	2165966.33	0.00523213	1.096719298	83	0.911810343652765	23	enriched in GAM
Tcf3 / Enhancer	11826	4309	0.402650771	0.071696191	0.043701826	0.002411722	1.43E-193	2163531.202	1994615.92	0.005178941	1.640576579	5	0.609541799389542	101	enriched in GAM
RNAPII-S2p / Med12	10184	4403	0.396063685	0.061741418	0.044655172	9.71E-04	4.41E-79	2055070.699	1782911.651	0.005002748	1.382626358	51	0.723261200839916	55	enriched in GAM
Tcf3 / H3K9me3	5964	3033	0.385249634	0.036157288	0.030760649	1.51E-04	1.09E-13	2040845.07	2159973.623	0.004890151	1.17543969	77	0.850745477209468	29	enriched in GAM
Tcf3 / Oct4	8219	3229	0.393062312	0.049828429	0.032748479	0.001233066	6.60E-100	2111239.81	2087816.662	0.004389106	1.521549418	18	0.657224792155912	88	enriched in GAM
Nanog / Med12	7412	2951	0.391055072	0.044935918	0.029929006	0.001045797	5.25E-85	2047021.047	2051765.503	0.004381763	1.501416996	20	0.666037485031906	86	enriched in GAM
p300 / Tcf3	7714	3112	0.391590083	0.046766821	0.031561866	0.00102807	1.30E-83	2140373.347	2002352.185	0.004203526	1.481750809	30	0.674877309953943	76	enriched in GAM
Sox2 / Med12	6945	3012	0.389051627	0.042104689	0.030547667	6.39E-04	1.17E-52	2048956.084	1993266.932	0.004047167	1.378327462	53	0.725516996192592	53	enriched in GAM
Med12 / H3K27me3	5457	2261	0.386255151	0.033083555	0.022931034	6.34E-04	3.05E-52	2098596.298	1911225.122	0.004040906	1.44274148	39	0.693124869467258	67	enriched in GAM
Tcf3 / RNAPII-S2p	8966	3328	0.395521086	0.054357184	0.033752535	0.00168645	5.63E-136	2113383.895	1911562.5	0.003882934	1.610462229	8	0.620939741393959	98	enriched in GAM
Nanog / Tcf3	5993	2313	0.388091642	0.036333103	0.023458418	9.56E-04	6.99E-78	2110475.555	2124582.793	0.003526073	1.54883007	12	0.645648621736792	94	enriched in GAM
Tcf3 / Sox2	5851	2336	0.387465566	0.035472215	0.023691684	8.09E-04	3.42E-66	2105294.821	2084417.808	0.003199136	1.497243328	25	0.667894109994658	81	enriched in GAM
Tcf3 / H3K27me3	4543	1866	0.384285855	0.027542347	0.018924949	5.48E-04	2.30E-45	2140946.511	2017491.961	0.003175848	1.455345891	34	0.687121876788258	72	enriched in GAM
Med12 / Med12	1702	821	0.377471106	0.010318528	0.008326572	7.21E-05	3.22E-07	1998284.371	1784263.094	0.002357266	1.239228878	76	0.806953435118383	30	enriched in GAM
Tcf3 / Med12	2818	1144	0.380480068	0.017084379	0.011602434	3.56E-04	5.37E-30	2060667.14	1975034.965	0.001988693	1.472482327	31	0.679125298595179	75	enriched in GAM
Tcf3 / Tcf3	1306	520	0.377110637	0.007917743	0.005273834	1.78E-04	7.92E-16	2118499.234	2034846.154	0.001516908	1.501325842	21	0.666077923942109	85	enriched in GAM

