Sample	filename	run_id	sample_id	treatment	tube_contents	expt	directory	expt_no	new_filename	optimization_only	Reads_sequenced	Reads_mapped	Unique_reads_mapped	Percent_mapped_reads	avg_quality	dinucleotide_repeats	mononucleotide_repeats	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt04_F40D1	1ul-csc-pk_4np_f40d1.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F40D1	1ul-csc-pk	4np	pk-volume-titration	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pk-volume-titration	4	expt04_F40D1.fastq.gz	True	4621748	1977067	750706	42.77	33.441084845	0	0.0	21.8655758263	4.16131697073	62.1161904193	13.2443542046	13.99	0.174176146826	0.0723717027083	11	0.812284613825
expt01_F38E4	pi-stained_4np_f38e4.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38E4	pi_stained	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38E4.fastq.gz	True	2047290	943442	668029	46.08	34.2827195952	0	0.0	17.3457724808	12.1193767401	64.592389977	16.0504078542	9.42	0.408342695257	0.168789061354	15	0.783050847458
expt08_D4-1	unstained_4np_d4-1.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	D4-1	unstained	4np	eosin-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/eosin-test	8	expt08_D4-1.fastq.gz	False	5202790	2458577	1529263	47.25	33.542194092	0	0.0	22.1980130729	3.95186599236	64.7140544106	14.8399864073	11.85	0.247866152278	0.177034124586	14	0.830529543383
expt06_F43C2	23-pcr-cycles_4np_f43c2.fastq.gz	160601_NS500648_0064_AH2CNWBGXY	F43C2	23-pcr-cycles	4np	wga-pcr-cycles-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-pcr-cycles-test	6	expt06_F43C2.fastq.gz	False	5768519	2955292	1923053	51.23	33.3451719583	0	0.0	15.6468056868	4.44911419896	73.8794264916	17.7602606125	9.05	0.278509521607	0.227120683079	16	0.888508494283
expt01_F38C9	pi-stained-frozen_4np_f38c9.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38C9	pi_stained_frozen	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38C9.fastq.gz	True	3143001	11399	8934	0.36	34.4851493843	0	0.0	44.9037361423	28.4649070896	2.15212845702	2.08900461593	26.04	0.113425651951	0.00591238519996	1	0.124069478908
expt01_F38C1	unstained_4np_f38c1.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38C1	unstained	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38C1.fastq.gz	False	2791036	1684144	1207808	60.34	34.3783455319	0	0.0	10.1294141252	7.9955858748	79.1803772071	18.6536918138	6.48	0.481540930979	0.154881018749	13	0.878185090461
expt01_F38H1	unstained_4np_f38h1.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38H1	unstained	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38H1.fastq.gz	False	2602676	1609930	1295482	61.85	34.3930028171	0	0.0	5.60322867447	11.0056641659	80.3422474851	18.3760726452	6.89	0.496488616725	0.153854053578	15	0.91446552875
expt10_C1	unstained_4np_c1.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	C1	unstained	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_C1.fastq.gz	False	6441786	915483	657876	14.21	33.9374353634	0	0.0	13.1849025861	59.0762322037	21.9198632927	8.12097006547	9.18	0.169890614289	0.132610545465	13	0.859055205222
expt05_F42E4	frozen-early_4np_f42e4.fastq.gz	160601_NS500648_0064_AH2CNWBGXY	F42E4	frozen-early	4np	early-freezing-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/early-freezing-test	5	expt05_F42E4.fastq.gz	False	4516559	2765846	2121223	61.23	33.1788060335	0	0.0	8.91120675913	4.40777937191	83.0055396142	19.1017057229	7.21	0.2610393751	0.286112496699	17	0.915085632243
expt07_H2	stained-sybrgold_4x1np_h2.fastq.gz	160616_NB501326_0043_AH2CNVBGXY	H2	stained-sybrgold	4np	sybrgold-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/sybrgold-test	7	expt07_H2.fastq.gz	True	10133955	468812	128733	4.62	33.6891771278	0	0.0	65.0059300158	4.66926457837	8.30301882655	2.47466039447	22.88	0.0916910013255	0.0315865144802	17	0.215513237343
expt11_G1G8	4np_g1g8.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1G8	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1G8.fastq.gz	False	5176355	6874	1998	0.13	32.9055607662	0	0.0	17.4984429309	57.0540252747	2.91824884978	3.99111968336	25.29	0.0964378277379	0.000660191895778	16	0.0
expt11_G1E9	4np_g1e9.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1E9	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1E9.fastq.gz	False	5768293	3855193	2476734	66.83	32.9193537846	0	0.0	1.24982403925	8.45717618195	87.1407887063	19.5658294287	7.15	0.284553663	0.204688829553	13	0.896645642202
expt03_F41C4	frozen-post-incubation_4np_f41c4.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F41C4	frozen-post-incubation	4np	freezing-after-incubation	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/freezing-after-incubation	3	expt03_F41C4.fastq.gz	False	5693655	2463032	1031552	43.25	33.8532949397	0	0.0	21.2716114888	11.551822523	58.0564426513	14.0355794932	12.0	0.267296699336	0.115768316657	12	0.800532251933
expt02_F37E4	protocol-b_4np_f37e4.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F37E4	protocol-b	4np	wga-reagent-volumes	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-reagent-volumes	2	expt02_F37E4.fastq.gz	False	6886142	3795535	1527090	55.11	33.7201819248	0	0.0	10.5911823647	4.86873747495	77.004008016	17.8607214429	10.97	0.362725450902	0.218640884951	16	0.831980138227
expt08_F4-1	unstained_4np_f4-1.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	F4-1	unstained	4np	eosin-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/eosin-test	8	expt08_F4-1.fastq.gz	False	5000548	2486956	1664369	49.73	33.4862213101	0	0.0	17.765045845	4.56149823519	70.3882572917	16.1092279849	10.9	0.292967773545	0.224758663185	15	0.827023498695
expt07_C3	unstained_1x4np_c3.fastq.gz	160616_NB501326_0043_AH2CNVBGXY	C3	unstained	4np	sybrgold-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/sybrgold-test	7	expt07_C3.fastq.gz	False	10020473	3230596	1735055	32.23	33.8734104668	0	0.0	10.1681552817	43.2353674966	43.8071952497	12.6919814381	7.04	0.231525372985	0.159179601538	13	0.850046082949
expt02_F37D6	protocol-c_4np_f37d6.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F37D6	protocol-c	4np	wga-reagent-volumes	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-reagent-volumes	2	expt02_F37D6.fastq.gz	False	4754089	3364457	1748392	70.76	33.6993667977	0	0.0	4.23246233997	4.4394410565	89.4743750252	20.6726303461	6.04	0.463430394572	0.254804729908	14	0.837229387379
expt11_G1H1	4np_g1h1.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1H1	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1H1.fastq.gz	False	3588317	2076289	1326284	57.86	32.862583211	0	0.0	2.46799630804	10.3334804767	83.190537341	19.0788153618	8.31	0.322043420683	0.108359496494	13	0.910912537233
expt02_F37D5	protocol-c_4np_f37d5.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F37D5	protocol_c	4np	wga-reagent-volumes	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-reagent-volumes	2	expt02_F37D5.fastq.gz	False	1829285	1183720	888079	64.7	34.2250163315	0	0.0	5.12265441271	3.50595806233	88.6083422712	18.7194347959	5.97	0.321764885316	0.187069041401	13	0.849423574622
expt06_F43E3	20-pcr-cycles_4np_f43e3.fastq.gz	160601_NS500648_0064_AH2CNWBGXY	F43E3	20-pcr-cycles	4np	wga-pcr-cycles-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-pcr-cycles-test	6	expt06_F43E3.fastq.gz	False	5196933	1129318	641078	21.73	31.5341454277	0	0.0	16.6896800144	10.4490604551	29.5581437234	8.08468911969	44.25	0.175101558904	0.115797658519	11	0.798175598632
expt11_G1G5	4np_g1g5.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1G5	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1G5.fastq.gz	False	4111432	2409362	1521220	58.6	32.9115179334	0	0.0	2.56185243172	10.9524426849	81.7957897466	19.091734062	8.59	0.280218191246	0.195607523253	16	0.876321908048
expt08_F3-1	eosin-etoh_4np_f3-1.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	F3-1	eosin-etoh	4np	eosin-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/eosin-test	8	expt08_F3-1.fastq.gz	True	4915325	363100	176061	7.38	33.4608047281	0	0.0	59.7888608655	5.32034731291	11.1700377817	3.02253945152	24.76	0.130591249389	0.0541504063848	9	0.400975345435
expt10_G2	unstained_4np_g2.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	G2	unstained	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_G2.fastq.gz	False	6488205	231723	169860	3.57	33.9068238442	0	0.0	13.7799416945	70.5757420932	7.98645548443	5.30159588856	10.95	0.163295564973	0.0400076288841	6	0.747708104144
expt09_F1-2	small-kit_4np_f1-2.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	F1-2	small-kit	4np	large-vs-small-kit	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/large-vs-small-kit	9	expt09_F1-2.fastq.gz	False	4920735	2486803	1590362	50.53	33.4397908036	0	0.0	13.6670517008	4.80861148729	74.7968613081	17.7208635386	10.2	0.331594041265	0.163918312256	12	0.906112950864
expt10_E6	cresyl-violet_4np_e6.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	E6	cresyl-violet	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_E6.fastq.gz	False	4545253	713775	548644	15.7	33.9166858258	0	0.0	11.8468209809	58.3519790904	23.6748311981	8.40049105994	9.54	0.179197275409	0.115621607347	13	0.870321025251
expt01_F38A5	pi-stained_4np_f38a5.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38A5	pi_stained	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38A5.fastq.gz	True	1741144	71847	62731	4.12	34.4207354475	0	0.0	5.27040353053	8.36059011336	6.8345358862	2.00251901466	80.25	0.0605344607063	0.036530618233	5	0.397991967871
expt07_A2	stained-sybrgold_h2o_a2.fastq.gz	160616_NB501326_0043_AH2CNVBGXY	A2	stained-sybrgold	water-control	sybrgold-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/sybrgold-test	7	expt07_A2.fastq.gz	True	8973819	3367	1883	0.03	33.7909169998	0	0.0	34.0988867716	27.1878447498	1.49132484204	1.67686290242	38.42	0.224651489319	0.000953610516123	13	0.0
expt03_F41B2	unfrozen_4np_f41b2.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F41B2	unfrozen	4np	freezing-after-incubation	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/freezing-after-incubation	3	expt03_F41B2.fastq.gz	False	2996098	1277778	753646	42.64	33.7347009343	0	0.0	15.6964053269	11.9184940423	63.9451286673	13.8530089116	11.22	0.30039050766	0.1087409407	11	0.819347004857
expt11_G1C12	4np_g1c12.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1C12	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1C12.fastq.gz	False	1663826	1407	188	0.08	30.7574764428	0	0.0	0.00613039346909	0.448540455488	0.197194323256	0.110347082444	99.32	0.0020434644897	1.46709310173e-05	1	0.0
expt10_H4	crystal-violet_4np_h4.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	H4	crystal-violet	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_H4.fastq.gz	True	5889915	10543	8184	0.17	33.9710031469	0	0.0	12.3990784333	74.7801262146	3.59511168987	4.42351998397	12.56	0.134228187919	0.00600041078607	1	0.039119804401
expt08_H2-1	eosin-h2o_4np_h2-1.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	H2-1	eosin-h2o	4np	eosin-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/eosin-test	8	expt08_H2-1.fastq.gz	True	4613540	431335	197045	9.34	33.3927886179	0	0.0	50.6755072536	12.0833541054	14.7056184256	4.28635525201	24.09	0.136597038736	0.0536956075233	8	0.359016393443
expt10_E1	unstained_4np_e1.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	E1	unstained	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_E1.fastq.gz	False	7339482	1984568	1493622	27.03	33.9036013713	0	0.0	10.2495499349	45.2084224346	38.935359704	11.3227439552	9.17	0.247660158542	0.248730964467	17	0.903798513625
expt03_F41D4	frozen-post-incubation_4np_f41d4.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F41D4	frozen-post-incubation	4np	freezing-after-incubation	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/freezing-after-incubation	3	expt03_F41D4.fastq.gz	False	3742125	1812756	1123169	48.44	33.7937238868	0	0.0	9.80927238751	15.4955061846	68.8873728235	15.5726277697	8.84	0.233342231978	0.165664153047	13	0.807562876373
expt09_E2-2	small-kit_4np_e2-2.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	E2-2	small-kit	4np	large-vs-small-kit	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/large-vs-small-kit	9	expt09_E2-2.fastq.gz	False	4834296	2736562	1861082	56.6	33.4408530218	0	0.0	10.9665888894	4.81457578315	79.1103609194	18.831355806	8.86	0.334607555975	0.261582700038	18	0.864722378015
expt05_F42C1	frozen-late_4np_f42c1.fastq.gz	160601_NS500648_0064_AH2CNWBGXY	F42C1	frozen-late	4np	early-freezing-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/early-freezing-test	5	expt05_F42C1.fastq.gz	False	1569315	586384	426223	37.36	33.3741014392	0	0.0	32.520416382	5.84301051151	50.7498751058	12.6545884608	13.04	0.199830755585	0.0996009506763	12	0.747827367801
expt01_F38E7	pi-stained-frozen_4np_f38e7.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38E7	pi_stained_frozen	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38E7.fastq.gz	True	2024191	180751	111655	8.92	34.3920509478	0	0.0	47.0200573066	19.6808615749	14.432368343	4.93133089616	20.61	0.164015413497	0.0432058918459	8	0.303565365025
expt11_G1E10	4np_g1e10.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1E10	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1E10.fastq.gz	False	5530599	1333353	324001	24.1	32.9267205957	0	0.0	12.3283311952	39.0644112295	33.3989677496	9.52395158965	18.54	0.206847857434	0.0364425926469	6	0.332125603865
expt11_G1C5	4np_g1c5.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1C5	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1C5.fastq.gz	False	5145267	2771838	1401676	53.87	32.8050989385	0	0.0	3.57624296249	13.7588216636	77.3293156768	17.5967409404	9.43	0.308262627865	0.175625715208	12	0.843455016289
expt11_G1G7	4np_g1g7.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1G7	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1G7.fastq.gz	False	5220379	3414371	2291657	65.4	32.887039236	0	0.0	1.29791218424	7.90501235158	88.289903578	19.74958164	6.64	0.302812973145	0.251283706464	14	0.893040635217
expt11_G1C6	4np_g1c6.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1C6	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1C6.fastq.gz	False	4935167	6369	2461	0.12	32.8262727482	0	0.0	18.2817371274	59.558370897	3.14740165611	3.70738100439	22.03	0.132051867591	0.000748217481881	15	0.0
expt03_F41A2	unfrozen_4np_f41a2.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F41A2	unfrozen	4np	freezing-after-incubation	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/freezing-after-incubation	3	expt03_F41A2.fastq.gz	False	6140389	1014619	786478	16.52	33.7901520571	0	0.0	1.67092178854	58.3014613115	24.5591726851	8.36553649305	19.4	0.191728837805	0.175390980312	15	0.79774153074
expt11_G1G3	4np_g1g3.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1G3	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1G3.fastq.gz	False	4422188	1363441	556995	30.83	32.8499437383	0	0.0	8.33988358788	30.9059250784	42.692403363	10.6034525645	21.39	0.224864434605	0.0810422229395	12	0.51339608979
expt10_D2	unstained_4np_d2.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	D2	unstained	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_D2.fastq.gz	False	4760303	40371	29604	0.84	33.7674038816	0	0.0	17.1195789176	68.8211509181	4.22695693384	4.14427313886	12.83	0.129067387293	0.0158446054987	1	0.14537037037
expt05_F42E3	frozen-early_4np_f42e3.fastq.gz	160601_NS500648_0064_AH2CNWBGXY	F42E3	frozen-early	4np	early-freezing-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/early-freezing-test	5	expt05_F42E3.fastq.gz	False	7678876	4497432	3210156	58.56	33.3256226562	0	0.0	9.88809337585	4.27070172272	81.1974810982	18.3101698654	8.07	0.247678639472	0.325254540653	16	0.917952187641
expt02_F37D1	protocol-a_4np_f37d1.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F37D1	protocol_a	4np	wga-reagent-volumes	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-reagent-volumes	2	expt02_F37D1.fastq.gz	False	2118072	1060615	545073	50.07	34.3250805449	0	0.0	20.5500639494	3.48697712694	64.606736003	14.7460366247	13.78	0.181437820367	0.0938939585106	12	0.5175
expt03_F41E4	frozen-post-incubation_4np_f41e4.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F41E4	frozen-post-incubation	4np	freezing-after-incubation	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/freezing-after-incubation	3	expt03_F41E4.fastq.gz	False	5133370	1841661	1162629	35.87	33.8655230385	0	0.0	5.97188415876	37.8818737271	50.0193731062	13.0058119318	9.83	0.242412200089	0.205994542414	14	0.821665123567
expt09_D3-2	large-kit_4np_d3-2.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	D3-2	large-kit	4np	large-vs-small-kit	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/large-vs-small-kit	9	expt09_D3-2.fastq.gz	False	4893161	1737490	899475	35.5	33.4909362271	0	0.0	0.0490682048047	35.2860476062	48.3011385826	12.7667457766	20.09	0.253352159502	0.11306886535	16	0.642662514597
expt11_G1B6	4np_g1b6.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1B6	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1B6.fastq.gz	False	5297550	1703720	612219	32.16	32.9159437853	0	0.0	9.3312923945	33.4063669288	46.6414550693	11.8024291174	14.06	0.226104007844	0.0674129280244	9	0.699455930359
expt11_G1A3	4np_g1a3.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1A3	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1A3.fastq.gz	False	6058290	3408215	2026961	56.25	32.9445569624	0	0.0	2.20506056365	12.7994200389	81.6023440096	19.2232951056	7.81	0.310118106669	0.247439922537	14	0.898553302502
expt10_B2	unstained_4np_b2.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	B2	unstained	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_B2.fastq.gz	False	13151419	3162650	1947734	24.04	33.9028536769	0	0.0	13.2246667737	43.429821744	36.6348161233	10.5969969488	9.93	0.239882768588	0.209046096065	16	0.891992420521
expt11_G1D6	4np_g1d6.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1D6	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1D6.fastq.gz	False	4988635	1885037	791230	37.78	32.9204742379	0	0.0	7.19934250749	28.9286680765	52.4159842843	12.7178695639	14.96	0.220500536217	0.0783134297703	9	0.824466092169
expt11_G1D4	4np_g1d4.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1D4	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1D4.fastq.gz	False	5839211	3290341	1849091	56.34	32.9697222793	0	0.0	3.40991487629	14.5604259165	77.3642440677	18.3130208489	8.62	0.286063351113	0.247938734192	16	0.871656804734
